29-Apr-2019 13:14:30
Sound experiment logfile
Participant 1

sound1,sound2,response
38,24,2
19,7,2
38,23,2
9,8,1
28,27,2
38,25,2
22,20,2
27,26,2
19,5,2
3,2,1
19,2,2
38,28,2
24,23,2
19,4,2
8,7,2
6,4,2
9,7,2
22,21,2
19,3,2
25,23,2
25,24,2
38,27,2
19,1,2
10,11,2
35,37,2
32,33,2
35,38,1
36,37,1
18,19,1
13,15,2
16,19,1
29,30,2
32,34,1
11,12,1
29,31,2
16,17,2
36,38,1
16,18,2
13,14,2
11,19,1
17,19,2
33,34,1
14,15,1
14,19,1
34,38,1
30,31,1
10,19,1
37,38,1
17,18,2
30,38,1
12,19,1
32,38,1
33,38,1
29,38,1
13,19,2
15,19,1
10,12,2
35,36,1
31,38,1
11,10,1
37,35,2
33,32,1
38,35,2
37,36,2
19,18,2
15,13,2
19,16,2
30,29,1
34,32,2
12,11,1
31,29,2
17,16,1
38,36,2
18,16,2
14,13,2
19,11,2
19,17,211
34,33,1
15,14,2
19,14,2
38,34,2
31,30,1
19,10,2
38,37,2
18,17,1
38,30,2
19,12,2
38,32,2
38,33,2
38,29,2
19,13,21
19,15,2
12,10,2
36,35,2
38,31,2
16,18,1
11,12,2
17,19,1
36,37,1
31,38,1
36,38,1
16,19,1
13,15,2
18,19,1
37,38,2
16,17,2
13,14,2
30,38,1
35,37,2
17,18,2
35,36,2
32,34,2
30,31,2
33,38,1
34,38,1
29,31,2
10,12,2
10,11,2
15,19,1
13,19,2
14,19,2
29,38,2
32,38,2
35,38,2
32,33,1
11,19,2
29,30,2
12,19,1
10,19,1
14,15,2
33,34,2
18,16,1
12,11,2
19,17,2
37,36,2
38,31,2
38,36,2
19,16,2
15,13,1
19,18,2
38,37,2
17,16,2
14,13,1
38,30,2
37,35,1
18,17,2
36,35,2
34,32,2
31,30,2
38,33,2
38,34,2
31,29,1
12,10,2
11,10,2
19,15,2
19,13,2
19,14,2
38,29,2
38,32,2
38,35,2
33,32,1
19,11,2
30,29,1
19,12,2
19,10,2
15,14,2
34,33,2
34,38,1
29,38,1
35,38,1
14,19,1
16,18,1
35,36,2
36,37,1
13,15,2
32,38,1
12,19,1
36,38,1
16,17,2
10,11,2
17,18,2
33,38,1
29,31,1
33,34,1
32,33,1
18,19,1
15,19,1
30,31,2
17,19,1
31,38,1
13,19,1
11,12,2
13,14,2
16,19,1
29,30,2
35,37,1
10,19,1
37,38,1
14,15,2
11,19,1
10,12,1
30,38,1
32,34,2
38,34,2
38,29,2
38,35,2
19,14,2
18,16,2
36,35,2
37,36,1
15,13,1
38,32,2
19,12,2
38,36,2
17,16,2
11,10,1
18,17,2
38,33,2
31,29,2
34,33,2
33,32,1
19,18,2
19,15,2
31,30,2
19,17,2
38,31,21
19,13,2
12,11,2
14,13,2
19,16,2
30,29,2
37,35,2
19,10,2
38,37,2
15,14,2
19,11,2
12,10,2
38,30,2
34,32,1
20,29,1
29,20,2
10,1,1
12,3,2
30,21,2
1,10,1
30,21,1
29,20,1
31,22,2
11,2,1
2,11,2
30,21,2
31,22,2
2,11,1
3,12,2
12,3,2
3,12,2
22,31,2
1,10,1
2,11,2
1,10,1
31,22,2
21,30,1
3,12,1
11,2,2
21,30,1
22,31,2
22,31,1
11,2,2
20,29,1
10,1,2
21,30,2
12,3,2
10,1,2
20,29,1
29,20,2
