02-May-2019 12:54:05
Sound experiment logfile
Participant 3

sound1,sound2,response
14,19,1
36,38,1
30,31,1
10,11,2
19,11,1
38,29,2
38,32,1
12,10,2
19,16,2
19,18,1
34,32,1
19,12,2
30,29,2
19,15,1
38,35,1
15,13,2
38,34,1
31,29,2
37,35,2
12,11,2
38,30,1
18,17,2
17,16,2
33,32,2
15,14,2
38,37,1
38,31,2
14,13,1
34,33,2
18,16,1
36,35,1
37,36,2
38,33,2
19,17,2
19,10,2
19,13,2
19,14,2
38,36,2
31,30,1
11,10,2
20,29,1
22,31,1
22,31,2
21,30,1
30,21,2
12,3,2
22,31,1
20,29,1
11,2,2
1,10,2
21,30,2
3,12,1
10,1,2
29,20,2
11,2,2
10,1,2
21,30,1
31,22,2
1,10,1
29,20,2
2,11,1
30,21,2
10,1,2
12,3,2
1,10,2
12,3,2
2,11,2
29,20,2
31,22,2
31,22,2
20,29,1
3,12,1
2,11,2
11,2,2
3,12,1
30,21,1
